TIME2,BRIGHTNESS2
1,166
3,251
4,334
6,417
7,416
9,416
10,414
12,414
13,414
15,414
16,414
25,414
33,414
41,415
50,415
58,414
66,414
74,413
82,412
92,411
100,410
109,409
118,409
128,410
137,411
146,411
155,411
165,410
175,408
184,406
193,406
202,408
211,409
221,408
231,408
240,407
249,405
259,404
268,405
277,407
286,408
296,408
306,408
315,407
324,406
333,405
343,406
352,407
362,409
371,409
380,410
390,409
399,407
408,407
417,407
428,409
437,411
446,411
455,411
464,411
474,410
483,409
493,410
502,411
512,413
521,415
530,415
539,415
548,414
559,413
568,414
577,415
586,418
595,418
605,418
614,417
624,417
633,417
643,416
652,417
661,419
670,420
679,421
690,422
699,422
708,420
717,419
727,419
736,421
745,422
754,422
764,423
774,422
783,421
792,420
801,421
811,423
820,423
830,423
839,423
848,422
858,421
867,419
876,420
885,422
896,422
905,423
914,422
923,421
932,419
942,418
951,418
961,420
970,421
979,420
989,420
998,418
1007,417
1017,415
1029,415
1039,416
1049,416
1059,416
1070,417
1080,416
1091,415
1101,414
1112,414
1122,412
1132,410
1142,411
1153,412
1164,410
1174,411
1184,411
1195,411
1205,409
1215,409
1226,408
1236,408
1247,407
1257,407
1267,407
1277,408
1289,407
1299,407
1309,406
1319,407
1330,406
1340,406
1350,406
1361,408
1372,406
1382,406
1392,407
1402,408
1413,407
1424,407
1434,406
1444,408
1455,406
1465,407
1475,407
1485,410
1497,409
1507,409
1517,409
1527,411
1538,409
1548,408
1559,408
1569,411
1580,411
1590,411
1600,412
1610,413
1622,411
1632,410
1642,409
1652,410
1662,409
1673,409
1683,411
1694,414
1704,415
1715,415
1725,415
1735,417
1745,416
1757,416
1767,417
1777,420
1787,420
1798,421
1808,422
1818,424
1829,423
1840,422
1850,421
1860,421
1870,420
1881,420
1892,421
1902,424
1912,424
1923,423
1933,423
1943,423
1954,421
1965,419
1975,418
1985,419
1995,419
2006,419
2016,420
2027,422
2037,421
2048,418
2058,417
2068,417
2078,415
2089,413
2100,414
2110,416
2120,416
2130,415
2141,415
2151,415
2162,413
2172,411
2183,411
2193,410
2203,410
2213,409
2225,409
2235,410
2245,410
2255,408
2266,407
2276,407
2287,407
2297,405
2308,406
2318,406
2328,406
2338,405
2349,405
2360,406
2370,406
2380,405
2391,405
2401,406
2411,406
2422,405
2433,405
2443,406
2453,407
2463,406
2473,406
2484,407
2495,407
2505,406
2515,406
2526,408
2536,409
2546,408
2557,409
2568,410
2578,411
2588,409
2598,409
2609,409
2620,410
2630,411
2640,412
2651,414
2661,416
2671,416
2681,415
2693,415
2703,416
2713,414
2723,414
2734,415
2744,418
2755,418
2765,419
2776,420
2786,421
2796,419
2806,418
2817,417
2828,419
2838,418
2848,419
2859,420
2869,423
2879,422
2890,422
2900,421
2911,421
2921,418
2931,418
2941,418
2953,420
2963,420
2973,421
2983,421
2994,422
3004,420
3014,419
3025,417
3036,418
3046,417
3056,417
3066,417
3077,420
3088,419
3098,418
3108,417
3119,417
3129,414
3139,412
3149,412
3161,414
3171,414
3181,413
3191,414
3202,415
3212,413
3223,411
3233,410
3244,410
3254,409
3264,409
3274,409
3286,411
3296,410
3306,409
3316,407
3326,408
3337,407
3347,405
3358,406
3368,407
3379,406
3389,405
3399,405
3409,406
3421,405
3431,404
3441,404
3451,406
3462,405
3472,405
3482,406
3493,407
3504,407
3514,406
3524,407
3534,408
3545,407
3556,406
3566,407
3576,408
3587,409
3597,409
3607,410
3618,412
3629,412
3639,410
3649,411
3659,411
3670,411
3680,410
3691,412
3701,414
3712,415
3722,415
3732,416
3742,417
3753,416
3764,414
3774,414
3784,415
3794,416
3805,417
3815,419
3826,421
3836,421
3847,420
3857,419
3867,418
3877,418
3889,417
3899,418
3909,419
3919,422
3930,422
3940,422
3951,422
3961,422
3972,419
3982,418
3992,418
4002,420
4013,419
4024,421
4034,422
4044,423
4055,421
4065,420
4075,419
4086,418
4097,416
4107,416
4117,416
4127,418
4137,418
4148,418
4159,417
4169,418
4179,415
4190,414
4200,412
4210,413
4221,412
4232,412
4242,412
4252,414
4262,413
4273,411
4284,410
4294,411
4304,409
4315,408
4325,408
4335,410
4345,409
4357,408
4367,408
4377,409
4387,407
4398,406
4408,406
4419,408
4429,406
4440,406
4450,406
4460,408
4470,407
4481,406
4492,406
4502,407
4512,406
4523,405
4533,406
4543,408
4554,407
4564,407
4575,407
4585,410
4595,408
4605,408
4617,408
4627,410
4637,409
4647,409
4658,410
4668,413
4678,412
4689,412
4700,412
4710,414
4720,413
4730,412
4741,412
4752,415
4762,416
4772,416
4783,418
4793,420
4803,419
4813,418
4825,417
4835,418
4845,418
4855,418
4866,420
4876,423
4887,423
4897,422
4908,423
4918,423
4928,421
4938,420
4950,420
4960,422
4970,422
4980,423
4990,424
5001,425
5011,425
5022,423
5032,422
5043,421
5053,421
5063,420
5073,422
5085,424
5095,425
5105,424
5115,424
5126,423
5136,422
5146,419
5157,419
5168,419
5178,420
5188,419
5198,420
5209,421
5220,421
5230,419
5240,418
5251,417
5261,417
5271,415
5282,416
5293,417
5303,417
5313,416
5323,416
5334,416
5344,415
5355,413
5365,413
5376,412
5386,413
5396,412
5406,412
5417,412
5428,413
5438,411
5448,410
5458,410
5469,411
5479,409
5490,409
5500,409
5511,410
5521,409
5531,410
5541,410
5553,411
5563,409
5573,409
5583,409
5594,410
5604,409
5615,409
5625,409
5636,411
5646,409
5656,409
5666,409
5677,410
5688,408
5698,408
5708,409
5719,411
5729,411
5739,411
5750,412
5761,413
5771,411
5781,410
5791,410
5801,412
5812,411
5823,413
5833,414
5843,418
5854,417
5864,417
5874,416
5885,418
5896,416
5906,417
5916,418
5926,421
5937,421
5948,422
5958,423
5968,424
5979,422
5989,421
5999,420
6009,422
6021,421
6031,422
6041,423
6051,426
6062,425
6072,425
6083,424
6093,424
6104,422
6114,421
6124,421
6134,423
6145,423
6156,424
6166,424
6176,425
6187,423
6197,421
6207,420
6218,420
6228,419
6239,418
6249,420
6259,422
6269,421
6281,419
6291,419
6301,418
6311,416
6322,414
6332,414
6342,415
6353,415
6364,414
6374,415
6384,416
6394,415
6405,413
6416,413
6426,412
6436,411
6447,410
6457,411
6467,411
6477,411
6489,410
6499,409
6509,410
6519,409
6530,408
6540,408
6551,409
6561,409
6572,407
6582,408
6592,408
6602,408
6614,407
6624,407
6634,408
6644,408
6654,407
6665,408
6675,409
6686,410
6696,410
6707,410
6717,411
6727,411
6737,410
6749,410
6759,411
6769,413
6779,413
6790,414
6800,414
6810,416
6821,414
6832,414
6842,414
6852,414
6862,413
6873,415
6884,416
6894,419
6904,419
6915,420
6925,420
6935,420
6946,418
6957,418
6967,418
6977,420
6987,420
6998,422
7008,423
7019,424
7029,423
7040,422
7050,421
7060,421
7070,420
7081,420
7092,421
7102,424
7112,424
7122,424
7133,423
7143,424
7154,421
7164,420
7175,420
7185,421
7195,420
7205,422
7217,422
7227,424
7237,422
7247,421
7258,419
7268,420
7279,417
7289,417
7300,418
7310,421
7320,419
7330,419
7341,418
7352,419
7362,416
7372,414
7383,414
7393,415
7403,414
7414,414
7425,414
7435,416
7445,414
7455,412
7465,412
7476,412
7487,411
7497,410
7507,410
7518,411
7528,411
7538,410
7549,410
7560,411
7570,410
7580,409
7590,409
7601,410
7612,409
7622,408
7632,408
7643,410
7653,409
7663,408
7673,408
7685,409
7695,409
7705,408
7715,409
7726,411
7736,411
7747,410
7757,411
7768,412
7778,412
7788,411
7798,412
7809,413
7820,413
7830,413
7840,415
7851,417
7861,417
7871,417
7882,417
7892,417
7903,417
7913,415
7923,416
7933,417
7945,419
7955,419
7965,421
7975,422
7986,422
7996,421
8006,420
8017,420
8028,421
8038,421
8048,422
8058,424
8069,425
8080,424
8090,424
8100,423
8111,422
8121,420
8131,421
8141,422
8153,424
8163,424
8173,425
8183,425
8194,425
8204,423
8215,422
8225,421
8236,421
8246,420
8256,421
8266,422
8278,424
8288,423
8298,423
8308,422
8318,421
8329,419
8339,417
8350,418
8360,419
8371,418
8381,418
8391,419
8401,419
8413,417
8423,416
8433,415
8443,416
8454,414
8464,414
8474,414
8485,415
8496,413
8506,413
8516,412
8526,413
8537,411
8548,411
8558,410
8568,412
8579,411
8589,410
8599,410
8610,412
8621,409
8631,409
8641,408
8651,410
8662,409
8672,409
8683,409
8693,411
8704,410
8714,410
8724,409
8734,411
8745,409
8756,409
8766,409
8776,411
8786,411
8797,411
8807,412
8818,414
8828,413
8839,412
8849,412
8859,414
8869,413
8881,413
8891,414
8901,417
8911,417
8922,417
8932,418
8943,419
8953,417
8964,416
8974,416
8984,418
8994,418
9005,419
9016,421
9026,424
9036,423
9047,422
9057,421
9067,422
9078,421
9089,421
9099,422
9109,424
9119,425
9129,425
9140,425
9151,426
9161,424
9171,423
9182,422
9192,423
9202,423
9213,423
9224,424
9234,426
9244,425
9254,424
9265,424
9276,423
9286,421
9296,420
9307,421
9317,422
9327,423
9337,423
9349,423
9359,423
9369,422
9379,419
9390,418
9400,418
9411,418
9421,418
9432,419
9442,419
9452,420
9462,418
9473,417
9484,417
9494,416
9504,414
9515,414
9525,414
9535,414
9546,413
9556,413
9567,413
9577,413
9587,411
9597,411
9609,410
9619,410
9629,409
9639,409
9650,409
9660,410
9670,409
9681,409
9692,409
9702,410
9712,408
9722,408
9733,409
9744,410
9754,409
9764,410
9775,410
9785,412
9795,410
9805,410
9817,410
9827,412
9837,411
9847,412
9858,412
9868,414
9879,413
9889,413
9900,412
9910,414
9920,412
9930,412
9942,412
9952,416
9962,415
9972,417
9982,418
9993,420
10003,418
10015,419
10027,420
10038,420
10049,419
10060,420
10072,421
10084,420
10095,421
10106,421
10118,422
10129,422
10141,422
10152,424
10164,424
10175,423
10186,423
10198,424
10210,424
10221,425
10232,424
10244,424
10255,424
10266,423
10278,423
10290,423
10301,423
10312,423
10323,423
10335,424
10347,423
10358,421
10370,422
10381,421
10392,420
10403,421
10416,420
10427,420
10438,420
10449,418
10461,418
10473,418
10484,417
10496,417
10507,417
10518,417
10529,417
10542,415
10553,415
10564,414
10575,413
10587,413
10598,413
10610,413
10621,412
10633,411
10644,411
10655,411
10667,410
