TIME,SIGNAL
2,491
3,390
4,309
5,237
6,188
7,149
8,119
9,95
10,73
11,60
12,48
13,39
14,30
15,213
16,374
17,506
18,600
19,687
20,749
21,631
22,491
23,382
24,305
25,238
26,186
27,263
28,421
29,545
30,643
31,711
32,775
33,737
34,576
35,462
36,361
37,281
38,219
39,207
40,377
41,511
42,606
43,692
44,760
45,813
46,653
47,510
48,398
49,310
50,250
51,194
52,323
53,453
54,571
55,665
56,731
57,792
58,706
59,567
60,442
61,343
62,274
63,215
64,255
65,400
66,527
67,630
68,703
69,769
70,785
71,612
72,493
73,384
74,299
75,240
76,188
77,344
78,485
79,583
80,673
81,746
82,797
83,690
84,539
85,421
86,337
87,264
88,206
89,266
90,423
91,547
92,645
93,713
94,778
95,751
96,603
97,470
98,365
99,293
100,229
101,176
102,358
103,503
104,605
105,687
106,752
107,804
108,654
109,517
110,409
111,324
112,249
113,198
114,300
115,443
116,567
117,656
118,728
119,784
120,722
121,571
122,453
123,358
124,276
125,219
126,225
127,383
128,521
129,618
130,696
131,766
132,804
133,634
134,505
135,387
136,307
137,243
138,193
139,337
140,473
141,580
142,667
143,737
144,798
145,693
146,550
147,436
148,344
149,271
150,209
151,262
152,412
153,531
154,636
155,712
156,772
157,784
158,604
159,479
160,379
161,291
162,231
163,181
164,350
165,496
166,598
167,680
168,747
169,806
170,670
171,532
172,420
173,324
174,257
175,204
176,279
177,440
178,554
179,646
180,719
181,785
182,739
183,586
184,464
185,366
186,280
187,221
188,214
189,374
190,502
191,615
192,695
193,760
194,811
195,652
196,504
197,399
198,316
199,251
200,193
201,318
202,455
203,567
204,665
205,733
206,790
207,723
208,558
209,442
210,350
211,269
212,214
213,246
214,399
215,533
216,629
217,704
218,767
219,779
220,618
221,490
222,387
223,296
224,236
225,186
226,340
227,473
228,594
229,678
230,744
231,797
232,692
233,534
234,422
235,333
236,263
237,208
238,266
239,431
240,546
241,638
242,721
243,780
244,758
245,601
246,463
247,368
248,291
249,230
250,209
251,369
252,497
253,599
254,691
255,755
256,807
257,667
258,515
259,408
260,322
261,248
262,197
263,304
