TIME,SIGNAL
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,844
16,842
17,844
18,843
19,844
20,843
21,0
22,0
23,0
24,0
25,0
26,0
27,844
28,842
29,844
30,842
31,844
32,843
33,0
34,0
35,0
36,0
37,0
38,0
39,842
40,843
41,843
42,843
43,844
44,843
45,844
46,0
47,0
48,0
49,0
50,0
51,0
52,842
53,843
54,842
55,843
56,843
57,844
58,0
59,0
60,0
61,0
62,0
63,0
64,842
65,844
66,842
67,843
68,843
69,843
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,843
78,844
79,843
80,843
81,844
82,843
83,0
84,0
85,0
86,0
87,0
88,0
89,844
90,843
91,843
92,843
93,843
94,843
95,0
96,0
97,0
98,0
99,0
100,0
101,843
102,843
103,844
104,844
105,844
106,843
107,843
108,0
109,0
110,0
111,0
112,0
113,0
114,843
115,844
116,844
117,844
118,843
119,843
120,0
121,0
122,0
123,0
124,0
125,0
126,843
127,843
128,844
129,844
130,844
131,844
132,842
133,0
134,0
135,0
136,0
137,0
138,0
139,844
140,844
141,844
142,844
143,844
144,844
145,0
146,0
147,0
148,0
149,0
150,0
151,842
152,842
153,842
154,842
155,843
156,844
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,844
165,843
166,842
167,843
168,842
169,844
170,0
171,0
172,0
173,0
174,0
175,0
176,843
177,843
178,842
179,842
180,842
181,842
182,0
183,0
184,0
185,0
186,0
187,0
188,844
189,844
190,844
191,844
192,844
193,844
194,843
195,0
196,0
197,0
198,0
199,0
200,0
201,842
202,842
203,843
204,843
205,844
206,844
207,0
208,0
209,0
210,0
211,0
212,0
213,843
214,842
215,842
216,843
217,843
218,843
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,843
227,844
228,844
229,844
230,844
231,844
232,0
233,0
234,0
235,0
236,0
237,0
238,842
239,842
240,843
241,844
242,844
243,844
244,0
245,0
246,0
247,0
248,0
249,0
250,843
251,843
252,843
253,844
254,844
255,844
256,843
257,0
258,0
259,0
260,0
261,0
262,0
263,843
264,843
265,844
266,844
267,843
268,843
269,0
270,0
271,0
272,0
273,0
274,0
275,844
276,844
277,844
278,843
279,842
280,842
281,841
282,0
283,0
284,0
285,0
286,0
287,0
288,843
289,843
290,843
291,843
292,843
293,843
294,0
295,0
296,0
297,0
298,0
299,0
300,843
301,844
302,844
303,844
304,844
305,844
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,844
314,843
315,843
316,844
317,844
318,844
319,0
320,0
321,0
322,0
323,0
324,0
325,843
326,843
327,843
328,842
329,842
330,842
331,0
332,0
333,0
334,0
335,0
336,0
337,843
338,844
339,844
340,844
341,844
342,844
343,843
344,0
345,0
346,0
347,0
348,0
349,0
350,843
351,842
352,842
353,844
354,843
355,843
356,0
357,0
358,0
359,0
360,0
361,0
362,843
363,843
364,843
365,843
366,843
367,843
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,843
376,844
377,844
378,844
379,844
380,843
381,0
382,0
383,0
384,0
385,0
386,0
387,843
388,843
389,843
390,843
391,843
392,844
393,0
394,0
395,0
396,0
397,0
398,0
399,844
400,844
401,844
402,844
403,844
404,844
405,844
406,0
407,0
408,0
409,0
410,0
411,0
412,842
413,842
414,842
415,842
416,843
417,843
418,0
419,0
420,0
421,0
422,0
423,0
424,843
425,843
426,843
427,842
428,842
429,842
430,842
431,0
432,0
433,0
434,0
435,0
436,0
437,844
438,843
439,843
440,844
441,844
442,844
443,0
444,0
445,0
446,0
447,0
448,0
449,843
450,843
451,844
452,843
453,844
454,843
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,842
463,842
464,843
465,843
466,843
467,844
468,0
469,0
470,0
471,0
472,0
473,0
474,843
475,842
476,843
477,843
478,844
479,843
480,0
481,0
482,0
483,0
484,0
485,0
486,843
487,843
488,843
489,842
490,842
491,842
492,842
493,0
494,0
495,0
496,0
497,0
498,0
499,844
500,843
501,843
502,842
503,842
504,843
505,0
506,0
507,0
508,0
509,0
510,0
511,843
512,843
513,843
514,842
515,843
516,843
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,843
525,844
526,844
527,844
528,844
529,844
530,0
531,0
532,0
533,0
534,0
535,0
536,842
537,843
538,843
539,844
540,844
541,843
542,0
543,0
544,0
545,0
546,0
547,0
548,843
549,842
550,843
551,843
552,843
553,843
554,844
555,0
556,0
557,0
558,0
559,0
560,0
561,843
562,843
563,842
564,842
565,842
566,842
567,0
568,0
569,0
570,0
571,0
572,0
573,843
574,843
575,843
576,843
577,843
578,844
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,844
587,844
588,843
589,843
590,842
591,843
592,0
593,0
594,0
595,0
596,0
597,0
598,844
599,844
600,843
601,843
602,842
603,842
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,844
612,844
613,844
614,844
615,843
616,844
617,0
618,0
619,0
620,0
621,0
622,0
623,842
624,842
625,842
626,842
627,842
628,842
629,0
630,0
631,0
632,0
633,0
634,0
635,842
636,843
637,843
638,844
639,844
640,844
641,844
642,0
643,0
644,0
645,0
646,0
647,0
648,842
649,842
650,842
651,842
652,842
653,842
654,0
655,0
656,0
657,0
658,0
659,0
660,843
661,844
662,844
663,843
664,842
665,843
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,844
674,843
675,843
676,844
677,844
678,844
679,0
680,0
681,0
682,0
683,0
684,0
685,842
686,843
687,842
688,842
689,842
690,843
691,0
692,0
693,0
694,0
695,0
696,0
697,844
698,844
699,844
700,844
701,844
702,844
703,844
704,0
705,0
706,0
707,0
708,0
709,0
710,844
711,844
712,844
713,843
714,843
715,843
716,0
717,0
718,0
719,0
720,0
721,0
722,842
723,842
724,843
725,843
726,843
727,843
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,843
736,843
737,843
738,844
739,844
740,844
741,0
742,0
743,0
744,0
745,0
746,0
747,843
748,843
749,844
750,844
751,842
752,843
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,842
761,842
762,842
763,843
764,843
765,844
766,0
767,0
768,0
769,0
770,0
771,0
772,844
773,843
774,844
775,843
776,844
777,843
778,0
779,0
780,0
781,0
782,0
783,0
784,843
785,842
786,842
787,842
788,842
789,843
790,843
791,0
792,0
793,0
794,0
795,0
796,0
797,842
798,842
799,842
800,843
801,843
802,843
803,0
804,0
805,0
806,0
807,0
808,0
809,843
810,843
811,843
812,844
813,843
814,844
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,844
823,844
824,844
825,844
826,844
827,844
828,0
829,0
830,0
831,0
832,0
833,0
834,844
835,843
836,843
837,843
838,842
839,842
840,0
841,0
842,0
843,0
844,0
845,0
846,844
847,844
848,844
849,843
850,843
851,843
852,842
853,0
854,0
855,0
856,0
857,0
858,0
859,842
860,843
861,842
862,843
863,843
864,842
865,0
866,0
867,0
868,0
869,0
870,0
871,844
872,843
873,843
874,843
875,842
876,843
877,841
878,0
879,0
880,0
881,0
882,0
883,0
884,844
885,843
886,843
887,842
888,842
889,842
890,0
891,0
892,0
893,0
894,0
895,0
896,844
897,844
898,844
899,844
900,843
901,843
902,0
903,0
904,0
905,0
906,0
907,0
908,842
909,842
910,843
911,842
912,842
913,843
914,843
915,0
916,0
917,0
918,0
919,0
920,0
921,843
922,842
923,843
924,843
925,843
926,844
927,0
928,0
929,0
930,0
931,0
932,0
933,843
934,844
935,844
936,844
937,843
938,842
939,841
940,0
941,0
942,0
943,0
944,0
945,0
946,844
947,844
948,843
949,843
950,842
951,842
952,0
953,0
954,0
955,0
956,0
957,0
958,844
959,844
960,844
961,844
962,843
963,843
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,842
972,843
973,843
974,844
975,844
976,844
977,0
978,0
979,0
980,0
981,0
982,0
983,843
984,843
985,844
986,844
987,844
988,843
989,0
990,0
991,0
992,0
993,0
994,0
995,843
996,843
997,843
998,844
999,844
1000,844
1001,842
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,842
1009,844
1010,843
1011,842
1012,843
1013,844
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,842
1021,843
1022,844
1023,842
1024,843
1025,843
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,843
1034,843
1035,842
1036,844
1037,844
1038,842
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,844
1046,844
1047,842
1048,844
1049,843
1050,842
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,843
1059,843
1060,843
1061,842
1062,844
1063,844
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,843
1071,843
1072,844
1073,843
1074,843
1075,843
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,843
1083,844
1084,842
1085,843
1086,843
1087,842
1088,843
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,844
1096,842
1097,843
1098,844
1099,842
1100,843
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,844
1108,842
1109,844
1110,844
1111,842
1112,843
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,844
1121,843
1122,842
1123,844
1124,842
1125,843
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,844
1133,842
1134,843
1135,844
1136,843
1137,842
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,844
1145,843
1146,842
1147,843
1148,844
1149,843
1150,843
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,844
1158,843
1159,843
1160,843
1161,842
1162,843
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,842
1170,844
1171,842
1172,843
1173,844
1174,842
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,842
1183,843
1184,844
1185,843
1186,842
1187,844
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,842
1195,843
1196,844
1197,843
1198,842
1199,843
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,843
1208,843
1209,842
1210,844
1211,843
1212,843
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,842
1220,844
1221,843
1222,843
1223,844
1224,842
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,844
1232,843
1233,842
1234,844
1235,843
1236,842
1237,843
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,844
1245,842
1246,844
1247,843
1248,842
1249,844
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,843
1257,843
1258,842
1259,843
1260,844
1261,843
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,843
1270,843
1271,843
1272,844
1273,843
1274,842
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,844
1282,842
1283,842
1284,843
1285,844
1286,843
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,843
1294,844
1295,842
1296,843
1297,844
1298,842
1299,843
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,843
1307,843
1308,844
1309,843
1310,842
1311,844
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,842
1319,843
1320,844
1321,842
1322,843
1323,843
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,842
1332,843
1333,843
1334,842
1335,844
1336,843
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,844
1344,842
1345,843
1346,844
1347,843
1348,844
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,843
1356,842
1357,843
1358,844
1359,842
1360,844
1361,844
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,842
1369,844
1370,843
1371,843
1372,844
1373,842
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,843
1381,843
1382,844
1383,843
1384,843
1385,844
1386,841
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,844
1394,842
1395,843
1396,844
1397,842
1398,843
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,842
1406,843
1407,844
1408,842
1409,844
1410,843
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,842
1419,843
1420,843
1421,842
1422,844
1423,843
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,843
1431,842
1432,844
1433,842
1434,843
1435,844
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,842
1443,843
1444,842
1445,842
1446,843
1447,844
1448,844
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,843
1456,843
1457,844
1458,842
1459,843
1460,844
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,843
1468,844
1469,843
1470,843
1471,843
1472,842
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,842
1481,844
1482,844
1483,843
1484,842
1485,843
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,842
1493,843
1494,844
1495,843
1496,842
1497,843
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,843
1506,844
1507,842
1508,843
1509,843
1510,842
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,844
1518,841
1519,843
1520,843
1521,843
1522,844
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,844
1530,842
1531,843
1532,844
1533,843
1534,843
1535,841
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,844
1543,843
1544,842
1545,843
1546,844
1547,842
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,844
1555,842
1556,843
1557,844
1558,843
1559,842
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,842
1568,843
1569,843
1570,842
1571,843
1572,844
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,844
1580,842
1581,843
1582,844
1583,844
1584,842
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,844
1592,843
1593,843
1594,843
1595,843
1596,843
1597,844
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,843
1605,844
1606,844
1607,843
1608,842
1609,843
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,844
1617,842
1618,843
1619,843
1620,842
1621,843
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,842
1630,844
1631,843
1632,843
1633,844
1634,843
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,844
1642,842
1643,844
1644,843
1645,842
1646,844
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,842
1654,843
1655,844
1656,843
1657,842
1658,844
1659,843
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,843
1667,844
1668,843
1669,843
1670,843
1671,842
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,844
1679,844
1680,842
1681,844
1682,844
1683,842
1684,843
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,844
1692,843
1693,843
1694,844
1695,844
1696,842
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,843
1704,844
1705,843
1706,843
1707,844
1708,842
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,842
1717,844
1718,843
1719,842
1720,843
1721,843
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,843
1729,843
1730,843
1731,844
1732,843
1733,842
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,844
1741,843
1742,842
1743,844
1744,844
1745,842
1746,843
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,843
1754,843
1755,844
1756,842
1757,843
1758,843
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,843
1766,843
1767,844
1768,842
1769,843
1770,843
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,842
1779,843
1780,844
1781,843
1782,842
1783,843
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,842
1791,844
1792,844
1793,843
1794,842
1795,843
1796,0
1797,0
1798,0
