TIME,SIGNAL
2,651
3,703
4,550
5,433
6,487
7,597
8,648
9,505
10,397
11,460
12,568
13,635
14,488
15,388
16,446
17,569
18,632
19,484
20,374
21,443
22,566
23,613
24,487
25,378
26,449
27,571
28,623
29,480
30,372
31,440
32,564
33,612
34,471
35,376
36,447
37,569
38,623
39,479
40,371
41,440
42,563
43,612
44,471
45,376
46,447
47,568
48,604
49,479
50,371
51,456
52,564
53,608
54,468
55,374
56,453
57,561
58,610
59,470
60,375
61,449
62,571
63,614
64,472
65,366
66,445
67,568
68,604
69,465
70,372
71,455
72,575
73,613
74,471
75,366
76,462
77,569
78,603
79,465
80,371
81,456
82,576
83,612
84,471
85,365
86,463
87,569
88,603
89,464
90,370
91,456
92,576
93,592
94,471
95,364
96,466
97,572
98,598
99,460
100,366
101,452
102,579
103,595
104,465
105,366
106,455
107,581
108,594
109,465
110,365
111,455
112,581
113,594
114,466
115,367
116,468
117,580
118,598
119,469
120,358
121,464
122,576
123,602
124,458
125,361
126,463
127,573
128,587
129,460
130,362
131,459
132,584
133,589
134,462
135,364
136,472
137,582
138,591
139,462
140,363
141,473
142,583
143,588
144,461
145,352
146,474
147,584
148,588
149,461
150,352
151,474
152,586
153,587
154,461
155,351
156,475
157,584
158,589
159,449
160,353
161,471
162,581
163,576
164,451
165,355
166,469
167,590
168,579
169,455
170,358
171,481
172,589
173,583
174,458
175,348
176,478
177,587
178,586
179,445
180,350
181,477
182,586
183,585
184,445
185,351
186,477
187,586
188,586
189,445
190,350
191,477
192,588
193,584
194,445
195,349
196,479
197,587
198,566
199,446
200,351
201,476
202,597
203,571
204,447
205,353
206,488
207,593
208,575
209,450
210,344
211,485
212,592
213,578
214,440
215,346
216,482
217,590
218,564
219,443
220,349
221,479
222,599
223,566
224,444
225,349
226,479
227,600
228,565
229,443
230,348
231,480
232,600
233,564
234,442
235,347
236,483
237,602
238,561
239,440
240,347
241,482
242,602
243,564
244,443
245,338
246,493
247,597
248,569
249,433
250,340
251,489
252,595
253,556
254,436
255,341
256,487
257,604
258,559
259,439
260,346
261,498
262,602
263,563
264,440
265,355
266,495
267,601
268,562
269,441
270,357
271,498
272,603
273,560
274,439
275,360
276,497
277,603
278,559
279,438
280,362
281,501
282,604
283,560
284,427
285,359
286,497
287,602
288,547
289,430
290,354
291,494
292,611
293,548
294,431
295,338
296,492
297,610
298,551
299,433
300,338
301,506
302,609
303,552
304,433
305,368
306,503
307,607
308,555
309,422
310,368
311,503
312,607
313,556
314,423
315,370
316,505
317,608
318,552
319,433
320,375
321,508
322,611
323,548
324,431
325,374
326,508
327,610
328,551
329,421
330,373
331,506
332,609
333,551
334,420
335,370
336,505
337,608
338,538
339,422
340,368
341,502
342,616
343,539
344,425
345,363
346,513
347,615
348,543
349,426
350,382
351,512
352,615
353,544
354,426
355,381
356,513
357,615
358,543
359,425
360,383
361,514
362,616
363,541
364,425
365,382
366,515
367,617
368,541
369,424
370,383
371,514
372,615
373,543
374,414
375,379
376,510
377,623
378,529
379,416
380,378
381,510
382,623
383,533
384,419
385,375
386,521
387,622
388,534
389,421
390,391
391,520
392,620
393,536
394,409
395,390
396,520
397,619
398,535
399,408
400,391
401,521
402,621
403,535
404,407
405,391
406,521
407,621
408,533
409,407
410,391
411,520
412,620
413,519
414,409
415,388
416,518
417,628
418,523
419,410
420,386
421,529
422,628
423,525
424,413
425,400
426,527
427,625
428,526
429,414
430,398
431,525
432,624
433,530
434,404
435,396
436,524
437,624
438,529
439,403
440,397
441,526
442,625
443,528
444,403
445,400
446,527
447,626
448,525
449,411
450,403
451,531
452,628
453,524
454,399
455,403
456,529
457,627
458,510
459,402
460,400
461,525
462,635
463,512
464,403
465,398
466,525
467,634
468,514
469,405
470,395
471,536
472,632
473,515
474,406
475,409
476,534
477,631
478,519
479,396
480,409
481,533
482,631
483,520
484,397
485,408
486,533
487,630
488,519
489,395
490,411
491,536
492,634
493,515
494,394
495,416
496,539
497,633
498,514
499,391
500,416
501,538
502,634
503,516
504,394
505,412
506,535
507,633
508,502
509,395
510,408
511,534
512,641
513,506
514,399
515,422
516,544
517,638
518,509
519,399
520,420
521,542
522,638
523,509
524,388
525,420
526,543
527,638
528,508
529,388
530,421
531,544
532,640
533,506
534,387
535,422
536,546
537,640
538,506
539,386
540,423
541,544
542,637
543,493
544,388
545,419
546,541
547,646
548,496
549,390
550,416
551,552
552,644
553,500
554,394
555,429
556,548
557,642
558,504
559,386
560,423
561,544
562,639
563,491
564,386
565,423
566,545
567,630
568,490
569,385
570,425
571,547
572,640
573,490
574,384
575,427
576,547
577,642
578,488
579,383
580,428
581,548
582,627
583,489
584,384
585,423
586,558
587,633
588,494
589,389
590,435
591,554
592,646
593,497
594,380
595,434
596,552
597,645
598,484
599,380
600,427
601,548
602,624
603,487
604,383
605,426
606,559
607,628
608,489
609,383
610,443
611,559
612,626
613,488
614,383
615,444
616,561
617,626
618,488
619,382
620,431
621,563
622,621
623,484
624,382
625,445
626,561
627,626
628,488
629,374
630,442
631,560
632,628
633,475
634,375
635,441
636,559
637,630
638,477
639,374
640,439
641,557
642,613
643,479
644,376
645,439
646,568
647,615
648,481
649,379
650,436
651,567
652,613
653,479
654,377
655,438
656,569
657,612
658,478
659,376
660,440
661,571
662,608
663,475
664,372
665,443
666,560
667,608
668,476
669,374
670,442
671,570
672,609
673,476
674,374
675,456
676,570
677,611
678,479
679,365
680,454
681,567
682,616
683,467
684,367
685,452
686,566
687,599
688,469
689,370
690,448
691,565
692,600
693,470
694,369
695,450
696,565
697,598
698,469
699,368
700,451
701,566
702,598
703,467
704,367
705,453
706,567
707,597
708,466
709,368
710,452
711,578
712,599
713,468
714,369
715,465
716,577
717,601
718,471
719,360
720,463
721,575
722,605
723,460
724,362
725,460
726,572
727,588
728,462
729,364
730,457
731,582
732,593
733,465
734,365
735,454
736,580
737,592
738,463
739,364
740,454
741,581
742,589
743,461
744,363
745,457
746,583
747,587
748,460
749,360
750,461
751,584
752,588
753,461
754,362
755,459
756,584
757,588
758,462
759,364
760,473
761,583
762,590
763,462
764,354
765,472
766,582
767,593
768,452
769,355
770,470
771,580
772,578
773,454
774,358
775,467
776,579
777,579
778,454
779,357
780,467
781,580
782,578
783,453
784,356
785,469
786,580
787,577
788,453
789,355
790,471
791,582
792,575
793,450
794,353
795,472
796,582
797,574
798,451
799,355
800,469
801,592
802,577
803,454
804,358
805,481
806,588
807,582
808,457
809,349
810,478
811,586
812,569
813,447
814,352
815,474
816,595
817,572
818,448
819,353
820,474
821,595
822,571
823,448
824,352
825,475
826,596
827,570
828,447
829,352
830,476
831,598
832,567
833,444
834,349
835,479
836,599
837,566
838,445
839,350
840,477
841,597
842,570
843,448
844,341
845,488
846,594
847,575
848,437
849,344
850,485
851,592
852,561
853,440
854,346
855,482
856,601
857,564
858,444
859,349
860,494
861,599
862,568
863,445
864,338
865,493
866,599
867,565
868,444
869,337
870,493
871,600
872,566
873,443
874,348
875,496
876,601
877,562
878,441
879,355
880,495
881,600
882,564
883,431
884,338
885,491
886,597
887,553
888,434
889,341
890,488
891,606
892,559
893,439
894,346
895,500
896,604
897,561
898,440
899,359
900,497
901,601
902,565
903,429
904,354
905,495
906,600
907,548
908,430
909,354
910,496
911,602
912,547
913,429
914,359
915,498
916,603
917,560
918,425
919,362
920,501
921,605
922,560
923,427
924,357
925,497
926,602
927,546
928,429
929,353
930,508
931,610
932,549
933,432
934,336
935,507
936,609
937,551
938,433
939,372
940,507
941,609
942,552
943,421
944,369
945,504
946,606
947,538
948,424
949,366
950,503
951,607
952,538
953,422
954,368
955,505
956,608
957,551
958,420
959,373
960,507
961,611
962,548
963,417
964,378
965,510
966,612
967,546
968,417
969,375
970,508
971,609
972,548
973,418
974,374
975,507
976,610
977,534
978,420
979,371
980,506
981,620
982,537
983,421
984,369
985,518
986,618
987,539
988,423
989,386
990,516
991,617
992,540
993,423
994,386
995,517
996,617
997,538
998,422
999,386
1000,517
1001,623
1002,540
1003,419
1004,382
1005,519
1006,625
1007,538
1008,418
1009,382
1010,519
1011,623
1012,525
1013,420
1014,378
1015,516
1016,621
1017,527
1018,409
1019,377
1020,516
1021,621
1022,526
1023,408
1024,378
1025,517
1026,623
1027,526
1028,408
1029,380
1030,517
1031,622
1032,525
1033,408
1034,379
1035,518
1036,622
1037,523
1038,405
