TIME,SIGNAL
3,357
4,283
5,223
6,172
7,137
8,109
9,88
10,68
11,54
12,45
13,35
14,28
15,34
16,219
17,380
18,510
19,603
20,688
21,756
22,805
23,636
24,497
25,388
26,311
27,243
28,189
29,152
30,301
31,451
32,567
33,651
34,727
35,788
36,830
37,701
38,550
39,430
40,345
41,270
42,211
43,164
44,276
45,429
46,550
47,638
48,717
49,778
50,828
51,742
52,581
53,453
54,364
55,282
56,221
57,176
58,245
59,405
60,519
61,624
62,707
63,765
64,818
65,766
66,616
67,482
68,377
69,295
70,237
71,185
72,211
73,360
74,497
75,605
76,690
77,751
78,806
79,810
80,634
81,510
82,399
83,311
84,249
85,195
86,166
87,345
88,470
89,583
90,672
91,745
92,796
93,842
94,667
95,537
96,420
97,327
98,262
99,205
100,159
101,308
102,449
103,560
104,660
105,730
106,786
107,833
108,715
109,553
110,437
111,345
112,274
113,216
114,168
115,272
116,418
117,547
118,640
119,714
120,774
121,827
122,741
123,590
124,468
125,360
126,285
127,225
128,179
129,243
130,394
131,517
132,615
133,702
134,764
135,814
136,791
137,611
138,484
139,383
140,304
141,232
142,185
143,199
144,360
145,490
146,606
147,687
148,752
149,804
150,826
151,640
152,507
153,402
154,318
155,253
156,194
157,151
158,327
159,477
160,583
161,668
162,737
163,796
164,840
165,682
166,543
167,418
168,332
169,263
170,209
171,161
172,300
173,441
174,554
175,655
176,726
177,784
178,830
179,708
180,563
181,447
182,353
183,272
184,215
185,170
186,263
187,411
188,544
189,637
190,713
191,772
192,821
193,759
194,587
195,464
196,369
197,292
198,224
199,178
200,228
201,382
202,520
203,618
204,696
205,758
206,815
207,787
208,627
209,497
210,384
211,303
212,241
213,191
214,197
215,357
216,487
217,603
218,684
219,749
220,802
221,817
222,651
223,516
224,408
225,324
226,249
227,197
228,156
229,321
230,457
231,581
232,666
233,736
234,791
235,836
236,679
237,540
238,427
239,339
240,261
241,207
242,164
243,284
244,443
245,555
246,647
247,719
248,783
249,831
250,722
251,575
252,443
253,351
254,279
255,221
256,169
257,258
258,407
259,526
260,634
261,709
262,770
263,818
264,749
265,597
266,473
267,374
268,288
269,228
270,181
271,217
272,375
273,515
274,615
275,693
276,757
277,810
278,805
279,623
280,493
281,391
282,309
283,239
284,189
285,181
286,346
287,492
288,595
289,677
290,744
291,804
292,846
293,663
294,528
295,406
