TIME,SIGNAL
2,177
3,139
4,107
5,84
6,67
7,52
8,42
9,33
10,26
11,20
12,16
13,13
14,146
15,317
16,445
17,561
18,654
19,680
20,524
21,403
22,321
23,250
24,194
25,299
26,448
27,565
28,649
29,725
30,735
31,572
32,459
33,357
34,278
35,224
36,319
37,465
38,579
39,661
40,735
41,744
42,581
43,467
44,363
45,284
46,228
47,321
48,467
49,582
50,662
51,737
52,744
53,597
54,464
55,361
56,290
57,226
58,332
59,461
60,578
61,670
62,733
63,750
64,600
65,468
66,365
67,285
68,229
69,321
70,467
71,581
72,662
73,736
74,750
75,601
76,470
77,366
78,286
79,230
80,318
81,466
82,581
83,661
84,735
85,753
86,588
87,472
88,367
89,287
90,230
91,319
92,465
93,580
94,661
95,735
96,752
97,601
98,469
99,365
100,292
101,225
102,324
103,460
104,571
105,659
106,738
107,755
108,597
109,472
110,374
111,287
112,228
113,317
114,456
115,578
116,665
117,734
118,769
119,590
120,468
121,371
122,293
123,225
124,321
125,460
126,569
127,667
128,736
129,766
130,605
131,467
132,370
133,293
134,233
135,324
136,461
137,571
138,657
139,736
140,761
141,601
142,475
143,375
144,289
145,228
146,316
147,456
148,567
149,657
150,735
151,765
152,604
153,479
154,369
155,292
156,231
157,304
158,461
159,569
160,658
161,736
162,764
163,603
164,477
165,368
166,291
167,231
168,304
169,461
170,571
171,658
172,728
173,763
174,603
175,479
176,379
177,291
178,231
179,307
180,448
181,573
182,660
183,731
184,786
185,613
186,471
187,373
188,295
189,234
190,299
191,460
192,571
193,658
194,730
195,785
196,601
197,476
198,377
199,299
200,230
201,309
202,449
203,561
204,660
205,730
206,786
207,600
208,476
209,375
210,298
211,229
212,312
213,452
214,562
215,662
216,731
217,787
218,616
219,474
220,375
221,297
222,235
223,315
224,455
225,567
226,655
227,727
228,767
229,605
230,479
231,378
232,298
233,230
234,309
235,449
236,563
237,652
238,732
239,772
240,610
241,483
242,383
243,294
244,233
245,296
246,440
247,567
248,655
249,726
250,769
251,607
252,482
253,382
254,293
255,233
256,300
257,443
258,569
259,657
260,726
261,784
262,607
263,482
264,381
265,302
266,231
267,305
268,447
269,559
270,650
271,730
272,786
273,616
274,487
275,375
276,296
277,235
278,295
279,440
280,565
281,656
282,727
283,783
284,608
285,482
286,381
287,302
288,232
289,302
290,444
291,556
292,656
293,728
294,784
295,624
296,481
297,381
298,301
299,239
300,303
301,444
302,557
303,647
304,728
305,785
306,624
307,493
308,379
309,300
310,237
311,290
312,435
313,563
314,652
315,725
316,782
317,628
318,483
319,382
320,302
321,238
322,284
323,446
324,559
325,649
326,721
327,785
328,621
329,492
330,379
331,300
332,238
333,286
334,447
335,559
336,649
337,722
338,785
339,620
340,491
341,389
342,299
343,238
344,288
345,433
346,559
347,650
348,722
349,780
350,617
351,489
352,386
353,306
354,242
355,297
356,440
357,555
358,646
359,720
360,784
361,621
362,492
363,389
364,307
365,236
366,293
367,436
368,550
369,652
370,724
371,782
372,630
373,484
374,384
375,304
376,241
377,294
378,437
379,552
380,644
381,724
382,783
383,628
384,498
385,383
386,303
387,240
388,276
389,440
390,554
391,644
392,718
393,784
394,626
395,496
396,392
397,309
398,238
399,287
400,434
401,550
402,642
403,724
404,781
405,630
406,498
407,394
408,303
409,239
410,281
411,427
412,556
413,647
414,719
415,778
416,622
417,493
418,390
419,308
420,238
421,284
422,430
423,546
424,647
425,721
426,778
427,638
428,491
429,388
430,308
431,245
432,287
433,433
434,548
435,641
436,722
437,780
438,633
439,500
440,396
441,304
442,240
443,279
444,426
445,544
446,648
447,721
