TIME,SIGNAL
1,331
2,259
3,205
4,161
5,123
6,98
7,77
8,61
9,48
10,37
11,31
12,24
13,20
14,15
15,12
16,10
17,176
18,343
19,464
20,577
21,669
22,733
23,791
24,837
25,756
26,594
27,465
28,362
29,290
30,226
31,177
32,143
33,158
34,334
35,474
36,573
37,666
38,739
39,795
40,836
41,875
42,704
43,568
44,445
45,348
46,271
47,219
48,171
49,133
50,244
51,385
52,516
53,620
54,693
55,762
56,815
57,853
58,821
59,647
60,521
61,405
62,315
63,254
64,199
65,156
66,124
67,294
68,442
69,548
70,646
71,723
72,783
73,827
74,866
75,756
76,595
77,480
78,375
79,293
80,235
81,184
82,143
83,191
84,343
85,482
86,592
87,679
88,742
89,800
90,845
91,880
92,703
93,552
94,432
95,346
96,271
97,210
98,170
99,134
100,257
101,405
102,525
103,622
104,700
105,769
106,818
107,857
108,811
109,648
110,502
111,398
112,316
113,250
114,193
115,154
116,117
117,299
118,455
119,563
120,652
121,723
122,787
123,832
124,869
125,752
126,585
127,466
128,370
129,293
130,226
131,179
132,142
133,210
134,366
135,493
136,595
137,679
138,752
139,805
140,846
141,879
142,675
143,538
144,427
145,338
146,269
147,208
148,163
149,131
150,256
151,418
152,537
153,631
154,706
155,768
156,822
157,861
158,801
159,623
160,496
161,393
162,313
163,240
164,190
165,152
166,139
167,329
168,463
169,571
170,658
171,736
172,790
173,835
174,871
175,722
176,576
177,459
178,363
179,281
180,222
181,176
182,141
183,224
184,378
185,503
186,605
187,686
188,757
189,809
190,851
191,850
192,677
193,525
194,417
195,328
196,260
197,207
198,161
199,128
200,273
201,417
202,547
203,638
204,712
205,773
206,826
207,862
208,786
209,611
210,486
211,386
212,306
213,236
214,188
215,149
216,153
217,340
218,471
219,577
220,664
221,741
222,795
223,839
224,874
225,728
226,564
227,447
228,353
229,280
230,223
231,171
232,135
233,226
234,380
235,507
236,617
237,695
238,760
239,811
240,854
241,826
242,662
243,527
244,408
245,323
246,257
247,204
248,157
249,125
250,288
251,429
252,555
253,645
254,719
255,776
256,829
257,866
258,766
259,612
260,474
261,375
262,298
263,236
264,182
265,145
266,176
267,338
268,486
269,590
270,674
271,741
272,796
273,843
274,879
275,704
276,562
277,445
278,342
279,272
280,214
281,170
282,135
283,249
284,398
285,519
286,615
287,703
288,765
289,813
290,854
291,811
292,649
293,517
294,399
295,317
296,251
297,199
298,153
299,120
300,300
301,439
302,563
303,653
304,723
305,780
306,833
307,868
308,753
309,601
310,477
311,367
312,291
313,230
314,183
315,144
316,198
317,358
318,487
319,592
320,676
321,750
322,802
323,844
324,879
325,685
326,547
327,435
328,345
329,266
330,210
331,168
332,130
333,259
334,405
335,525
336,632
337,708
338,768
339,817
340,860
341,798
342,639
343,509
344,392
345,312
346,246
347,196
348,152
349,138
350,310
351,449
352,573
353,661
354,731
355,787
356,832
357,872
358,734
359,585
360,464
361,367
362,291
363,223
364,177
365,141
366,201
367,376
368,500
369,601
370,682
371,756
372,807
373,848
374,862
375,670
376,535
377,424
378,337
379,259
380,206
381,164
382,131
383,277
384,420
385,535
386,630
387,715
388,774
389,822
390,860
391,779
392,623
393,495
394,392
395,310
396,239
397,189
398,151
399,148
400,317
401,468
402,576
403,663
404,733
405,789
406,840
407,875
408,721
409,575
410,459
411,353
412,279
413,223
414,176
415,137
416,223
417,376
418,500
419,611
420,692
421,754
422,813
423,852
424,840
425,671
426,521
427,413
428,328
429,261
430,201
431,161
432,127
433,275
434,434
435,548
436,640
437,715
438,774
439,828
440,865
441,774
442,617
443,490
444,377
445,299
446,237
447,189
448,149
449,177
450,341
451,473
452,579
453,674
454,742
455,795
456,839
457,877
458,709
459,565
460,449
461,346
462,275
463,218
464,172
465,134
466,238
467,388
468,510
469,620
470,698
471,760
472,810
473,856
474,823
475,658
476,524
477,404
478,320
479,255
480,201
481,156
482,124
483,294
484,436
485,549
486,651
487,724
488,782
489,829
490,866
491,748
492,598
493,473
494,376
495,298
496,229
497,182
498,145
499,175
500,356
501,485
502,588
503,672
504,747
505,800
506,843
507,877
508,692
509,552
510,438
511,348
512,267
513,212
514,169
515,130
516,256
517,402
518,522
519,619
520,705
521,767
522,817
523,856
524,798
525,638
526,506
527,403
528,317
529,245
530,193
531,154
532,118
533,301
534,442
535,566
536,655
537,725
538,784
539,835
540,871
541,747
542,595
543,460
544,366
545,290
546,231
547,178
548,142
549,194
550,355
551,497
552,599
553,681
554,747
555,805
556,845
557,879
558,676
559,541
560,430
561,341
562,262
563,208
564,165
565,131
566,254
567,418
568,537
569,630
570,707
571,768
572,823
573,862
574,793
575,633
576,502
577,397
578,307
579,242
580,193
581,153
582,154
583,320
584,458
585,567
586,664
587,733
588,789
589,832
590,872
591,729
592,583
593,463
594,358
595,284
596,225
597,179
598,139
599,214
600,369
601,508
602,608
603,688
604,753
605,810
606,850
607,847
608,677
609,539
610,416
611,328
612,260
613,206
614,163
615,127
616,279
617,423
618,540
619,633
620,718
621,776
622,824
623,862
624,771
625,616
626,491
627,389
628,299
629,239
630,189
631,150
632,170
633,335
634,468
635,575
636,671
637,738
638,793
639,836
640,876
641,717
642,573
643,443
644,351
645,278
646,221
647,171
648,136
649,225
650,378
651,516
652,615
653,693
654,759
655,809
656,855
657,826
658,661
659,526
660,416
661,319
662,253
663,201
664,160
665,127
666,296
667,436
668,548
669,641
670,723
671,780
672,826
673,864
674,758
675,607
676,483
677,383
678,295
679,235
680,187
681,143
682,181
683,343
684,474
685,592
686,676
687,742
688,796
689,844
690,877
691,708
692,565
693,436
694,345
695,272
696,216
697,171
698,134
699,248
700,397
701,518
702,617
703,695
704,767
705,816
706,856
707,822
708,639
709,508
710,404
711,320
712,247
713,196
714,155
715,124
716,310
717,447
718,559
719,647
720,728
721,785
722,831
723,868
724,741
725,593
726,472
727,373
728,289
729,229
730,182
731,145
732,200
733,358
734,487
735,591
736,684
737,750
738,803
